names,scores,logfoldchanges,pvals,pvals_adj
AGL,1.0505997,0.33941686,0.29344245535243485,1.0
SBF2-AS1,1.0499737,1.2462567,0.29373020657469817,1.0
MED24,1.0498211,0.51760995,0.293800359495604,1.0
SLC25A33,1.0490215,0.3429647,0.2941682413719855,1.0
HACL1,1.048185,0.2616188,0.29455339556552296,1.0
AGO4,1.0479692,0.4728336,0.2946527668463961,1.0
AKAP6,1.0476956,2.287468,0.2947788310293249,1.0
CCDC171,1.0473747,1.6116074,0.2949267600738351,1.0
MRPS27,1.0459596,0.35607567,0.29557969612873947,1.0
ZNF23,1.0455493,0.6049725,0.2957692041964879,1.0
TRIOBP,1.0437131,0.3454178,0.29661812736297255,1.0
RMI2,1.0436658,1.9859915,0.2966400409011084,1.0
GPSM1,1.0425242,2.5662904,0.29716872849214426,1.0
SNX19,1.0421611,0.39574608,0.2973369684525,1.0
MEPCE,1.0416509,0.22885594,0.29757358735121475,1.0
HSPBAP1,1.0414404,0.59063345,0.2976711987924967,1.0
PRPF4,1.0407985,0.30158058,0.2979690458296548,1.0
MRPS18A,1.0406091,0.17734055,0.29805697315009394,1.0
EPN2-AS1,1.0405777,4.7370157,0.29807162938844756,1.0
ELOVL1,1.0404881,0.23238294,0.2981131580114801,1.0
DAP,1.0390782,0.23053166,0.29876835526347245,1.0
ADA2,1.0386889,0.31755096,0.29894943717085787,1.0
SHCBP1,1.0385206,2.35396,0.29902776554381627,1.0
IRS1,1.0384206,1.5218742,0.29907427949534926,1.0
ICK,1.0379472,0.37447426,0.29929467434405554,1.0
MAP4K5,1.0369529,0.33359638,0.2997578561798553,1.0
TRAF2,1.036695,0.52971,0.2998780183557438,1.0
TNFRSF21,1.0356165,5.350909,0.30038108593023716,1.0
ZBTB48,1.0353693,0.40716395,0.3004965025950307,1.0
CYP2R1,1.0349536,0.4789273,0.3006905674007958,1.0
C11orf49,1.0347484,0.5140466,0.3007864023286497,1.0
R3HDM1,1.034054,0.28114006,0.3011109176907265,1.0
PACC1,1.03377,0.55221176,0.3012437411643343,1.0
TARS2,1.0333174,0.5145443,0.3014553553884126,1.0
AC104794.3,1.0324546,1.0377029,0.3018591730794389,1.0
AC022167.3,1.0319233,1.8825828,0.30210804474484065,1.0
NOD1,1.0318917,0.8862635,0.3021228334954449,1.0
MYO1B,1.0315498,2.4697673,0.30228307583708314,1.0
IGKV1-5,1.0305187,7.2377234,0.3027666103990808,1.0
CCNL2,1.0304661,0.29080868,0.30279129431307217,1.0
CEP162,1.0297558,0.59170914,0.3031246581312603,1.0
NUP43,1.0296663,0.58991855,0.30316665456896463,1.0
POLR2G,1.0288877,0.12529255,0.30353243402058516,1.0
STOML2,1.0285563,0.14865868,0.303688226387576,1.0
GPT2,1.0269307,2.637978,0.3044531200826196,1.0
KHSRP,1.0265414,0.19337267,0.3046364881798521,1.0
MYO1D,1.0263783,0.9393699,0.304713326329044,1.0
SND1-IT1,1.0259153,0.6174956,0.30493151761200044,1.0
ZNF564,1.0256155,0.4085968,0.3050729013721334,1.0
PANX1,1.0253944,0.7569203,0.3051771067084752,1.0
ITGA6-AS1,1.0253208,0.9186507,0.305211847067837,1.0
MCM9,1.0247053,0.60140055,0.3055022797978423,1.0
GNA13,1.0246737,0.22261663,0.3055171787235035,1.0
FAM41C,1.0245684,0.9859079,0.3055668452894953,1.0
ZBTB40,1.0241476,0.5145732,0.3057655650993947,1.0
RDH14,1.0240055,0.15279582,0.305832652372218,1.0
LINC01238,1.0231954,2.4474487,0.30621548487215566,1.0
RBM12,1.0229902,0.33921614,0.30631248634237107,1.0
UNC45A,1.022322,0.2837034,0.3066285040425205,1.0
PIK3C3,1.0211751,0.39286506,0.30717146307433374,1.0
ZNF703,1.0210278,1.3686574,0.30724124704086864,1.0
ZFHX3,1.0193654,1.1007727,0.30802953665849586,1.0
BTNL9,1.0181658,6.128262,0.3085991329395892,1.0
AC092140.1,1.0178397,1.3006096,0.3087541435315505,1.0
ORC6,1.016456,0.9076674,0.30941226073243866,1.0
UBTD2,1.0161562,1.171926,0.3095550166212686,1.0
EXOSC10,1.0159826,0.43154168,0.30963768465297536,1.0
CLN6,1.0155196,0.5191071,0.3098582040315848,1.0
PIAS1,1.0152197,0.22375438,0.3100010957864121,1.0
POLD2,1.0144621,0.19420005,0.310362279283256,1.0
KAT2A,1.0142254,0.6551102,0.3104752060737016,1.0
AC083799.1,1.0139203,0.78584635,0.31062079616030325,1.0
BTBD1,1.0136888,0.28350785,0.3107312738634974,1.0
AC069061.2,1.0131364,23.511768,0.31099501859573664,1.0
FANCF,1.0130943,0.30459216,0.3110151194856948,1.0
HELZ2,1.0125314,0.40882912,0.3112840512844359,1.0
SAAL1,1.0122947,0.46578923,0.31139719924445586,1.0
RAB13,1.011032,1.6423855,0.31200111305559797,1.0
NPIPB4,1.0109636,0.92146045,0.31203384707797754,1.0
ZNF765,1.0102797,0.58000153,0.312361311788663,1.0
TDRD7,1.009601,0.72289026,0.31268648127714327,1.0
ALPK1,1.0093853,0.8994826,0.31278987639438716,1.0
FBXL6,1.0089749,0.50308466,0.31298664145854127,1.0
AC016745.2,1.0085804,2.4405599,0.3131759154799899,1.0
FBXO42,1.0074756,0.42916867,0.31370628354057983,1.0
CKAP4,1.007039,0.5087116,0.3139160680625832,1.0
AP5Z1,1.0068285,0.4192329,0.31401720198568306,1.0
HMG20B,1.0056185,0.2281849,0.3145991379230957,1.0
XAF1,1.0046715,0.22414199,0.3150550602864386,1.0
AC007620.2,1.0035456,2.6163034,0.31559766598881644,1.0
